project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
5Xu49DvIGmvryRTRjud9YDx5k4iWL7cUHCRK3_II5XY=,OSS_DIRECTORY,oso,quadratic-systems,Quadratic,GITHUB,1,2024-10-02 23:25:38.000000 UTC,2024-10-02 23:25:38.000000 UTC,0,0,1,1,1,1,0,1,1,0,0,0,0
Ig2ejeB3POlrSJzn8ec8iCx4vtfC6TiffO52RviJO7E=,OSS_DIRECTORY,oso,nebulaid,NebulaID,GITHUB,4,2024-10-16 16:11:57.000000 UTC,2024-10-19 05:13:03.000000 UTC,0,0,1,1,1,1,0,1,9,0,0,0,0
LhkKxfYSJQa0S5_iOiAFpY44yDhR6dsMfOEFwI5vLlQ=,OSS_DIRECTORY,oso,coindlabs,CoindPay,GITHUB,1,2024-07-13 05:48:10.000000 UTC,2024-10-15 11:23:46.000000 UTC,1,2,1,1,1,1,0,1,11,0,0,0,0
KNGpEbwRNayOTZHCOv8nCf_iH9PSfMXb-opBDantPzw=,OSS_DIRECTORY,oso,easpulse,EAS Pulse,GITHUB,1,2024-10-13 22:56:30.000000 UTC,2024-10-16 22:03:16.000000 UTC,0,0,1,1,1,1,0,1,8,0,0,0,0
ZT6W9bnyC0m5T8MY7bRYGZ7maO_eGrZ9-7Et5aqSCN8=,OSS_DIRECTORY,oso,bloomnetwork,Bloom Network,GITHUB,1,2023-04-19 12:19:15.000000 UTC,2024-09-07 04:16:09.000000 UTC,1,0,1,1,1,0,0,1,1,0,0,0,0
CHy1KZOLAqhXO99_db3D9MHcmvVfzROzLn_3Oar-A_M=,OSS_DIRECTORY,oso,pheasant-network,Pheasant Network,GITHUB,2,2022-12-22 06:36:07.000000 UTC,2024-06-03 05:24:01.000000 UTC,147,11,1,2,1,0,0,1,4,0,0,0,0
gH36826YRj2DNvNi3i8xn3HqVEg09WpTQZPFfbCB97s=,OSS_DIRECTORY,oso,grantsscope,GrantsScope - Grantee Discovery Using LLMs,GITHUB,25,2023-07-08 17:42:55.000000 UTC,2024-09-16 18:24:57.000000 UTC,5,4,1,2,1,0,0.0273224,1,128,0,0,0,0
guQBDdWciOJCSu-g46TPGno1BWHQ0xFcMIA6VgegWeE=,OSS_DIRECTORY,oso,mybucks-online,Mybucks.online,GITHUB,2,2024-09-10 14:39:07.000000 UTC,2024-10-23 06:55:16.000000 UTC,3,2,1,1,1,1,0,1,56,6,6,0,0
IzTKAfr79CrV28ti6xuvn5qp0WUiu5ey64Y3EB8_CUE=,OSS_DIRECTORY,oso,privatefolio,Privatefolio,GITHUB,1,2024-04-20 15:29:48.000000 UTC,2024-10-04 11:28:33.000000 UTC,1,1,1,1,1,0,0,1,11,0,0,0,0
FGdJh5TUnjIcefyZ1wcHrN5XGXk1mD64jEuTo_c8me8=,OSS_DIRECTORY,oso,brewitmoney,Brewit,GITHUB,2,2024-10-03 04:54:24.000000 UTC,2024-10-21 15:47:08.000000 UTC,0,0,1,1,1,1,0,1,30,2,1,0,0
bcee96RnRnS_IBM5Wj3rlQhvSLf2gKk3ZGuQLRbrTDE=,OSS_DIRECTORY,oso,dgl-dynamic-governance-liquidator,Dynamic Governance Liqidator,GITHUB,1,2024-10-11 01:36:09.000000 UTC,2024-10-11 01:36:09.000000 UTC,0,0,1,1,1,1,0,1,1,0,0,1,0
kWHwpnr4lmIFWxAyRcAwdMd2XxQ9-Nq86bWsftLvbrc=,OSS_DIRECTORY,oso,web3-gpt,W3GPT,GITHUB,1,2024-04-16 19:01:05.000000 UTC,2024-09-04 20:08:36.000000 UTC,11,3,1,1,1,0,0,1,1,0,0,0,0
r2sPhN8-aCj1XsGuKV4AbM0plwwiNrlVdKS5gdrIvCk=,OSS_DIRECTORY,oso,zkcodex,zkCodex,GITHUB,2,2024-06-06 16:25:17.000000 UTC,2024-10-09 15:52:46.000000 UTC,0,0,1,1,1,1,0,1,10,0,0,0,0
UEgPIsYofFIeieFtvZJ6WNJUlN3Wm8BNjOgC8un2NyA=,OSS_DIRECTORY,oso,coincashewcom,coincashewcom,GITHUB,1,2024-07-24 07:19:15.000000 UTC,2024-07-30 05:39:09.000000 UTC,0,0,1,1,1,1,0,1,25,1,1,0,0
kQP6O7MFyef8p2ONiu2-RfHKpp6DgjMPBwn8yI9llgI=,OSS_DIRECTORY,oso,know-your-rpc,Know Your Rpc,GITHUB,1,2024-10-19 13:04:15.000000 UTC,2024-10-24 07:46:45.000000 UTC,0,0,1,1,1,1,0,1,25,0,0,0,0
D3mUC1uetKFVx1xSk39LA6L7IG93NmwmCIqjArMu8i4=,OSS_DIRECTORY,oso,ethers-io,ethers.js,GITHUB,30,2016-05-04 23:15:21.000000 UTC,2024-10-10 22:01:34.000000 UTC,8670,2169,1,1910,103,86,0,1,56,29,0,86,71
